"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"66572441","10/22/2025 06:41:22 AM","10/22/2025 06:41:22 AM","DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE","N/A","Closed",,"The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.","11/12/2025 12:00:00 PM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66556784","10/21/2025 10:58:39 AM","10/21/2025 12:42:49 PM","NYPD","New York City Police Department","Illegal Parking","Unauthorized Bus Layover","Street/Sidewalk","11101","35-24 SKILLMAN AVENUE","SKILLMAN AVENUE","35 STREET","36 STREET","35 STREET","36 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","10/21/2025 12:42:52 PM","02 QUEENS",,"QUEENS","1,003,921","211,483","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74712667855","-73.92900729059","(40.747126678548604, -73.92900729059235)"
"66508064","10/16/2025 11:45:23 AM","10/18/2025 11:58:05 AM","DSNY","Department of Sanitation","Illegal Dumping","Removal Request","Sidewalk","11101","26-32 SKILLMAN AVENUE","SKILLMAN AVENUE","47 AVENUE","27 STREET","47 AVENUE","27 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Department of Sanitation cleaned the location.","10/17/2025 01:15:46 PM","02 QUEENS","4000960010","QUEENS","1,000,544","210,363","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74405942712","-73.94119760501","(40.74405942712206, -73.94119760501418)"
"66490578","10/15/2025 12:13:01 PM","10/15/2025 06:42:53 PM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","10/15/2025 06:42:57 PM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66431422","10/10/2025 08:22:00 AM","10/10/2025 10:25:39 AM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","10/10/2025 10:25:43 AM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66414929","10/08/2025 02:10:27 PM","10/08/2025 04:42:44 PM","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/08/2025 04:42:46 PM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66387983","10/06/2025 04:06:57 PM","10/06/2025 09:34:25 PM","DHS","Department of Homeless Services","Homeless Person Assistance","Non-Chronic","Other","11101","25-30 SKILLMAN AVENUE","SKILLMAN AVENUE","LIRR PENN CENTRAL LINE","PEARSON PLACE","LIRR PENN CENTRAL LINE","PEARSON PLACE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Department of Homeless Services (DHS) visited the location but could not find the person that you reported. If they are still there, please submit a new service request with more details. Include the specific location and a detailed description of the person.","10/06/2025 09:34:00 PM","02 QUEENS",,"QUEENS","999,914","210,036","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74316303233","-73.9434719334","(40.74316303233488, -73.94347193340309)"
"66388128","10/06/2025 04:26:52 AM","10/06/2025 08:26:41 AM","DSNY","Department of Sanitation","Missed Collection","Trash","Street","11101","25-30 SKILLMAN AVENUE","SKILLMAN AVENUE","LIRR PENN CENTRAL LINE","PEARSON PLACE","LIRR PENN CENTRAL LINE","PEARSON PLACE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.","10/06/2025 08:26:40 AM","02 QUEENS",,"QUEENS","999,914","210,036","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74316303233","-73.9434719334","(40.74316303233488, -73.94347193340309)"
"66327027","09/30/2025 12:00:07 PM","09/30/2025 03:16:34 PM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","09/30/2025 03:16:37 PM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66325568","09/30/2025 09:46:41 AM","09/30/2025 02:54:14 PM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-03 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/30/2025 02:54:16 PM","02 QUEENS",,"QUEENS","999,197","209,662","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74213773673","-73.94606026535","(40.742137736734115, -73.94606026534599)"
"66267897","09/25/2025 08:59:55 AM","09/25/2025 11:02:55 AM","NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11101","36-16 SKILLMAN AVENUE","SKILLMAN AVENUE","36 STREET","37 STREET","36 STREET","37 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/25/2025 11:02:59 AM","02 QUEENS","4002170031","QUEENS","1,004,186","211,559","ONLINE","Unspecified","QUEENS","Car",,,,,,,"40.74733468593","-73.92805067978","(40.747334685930184, -73.9280506797836)"
"66237418","09/22/2025 08:15:48 AM","09/22/2025 09:51:37 AM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/22/2025 09:51:41 AM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66176102","09/16/2025 09:04:01 AM","09/16/2025 10:50:15 AM","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11101","36-16 SKILLMAN AVENUE","SKILLMAN AVENUE","36 STREET","37 STREET","36 STREET","37 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/16/2025 10:50:19 AM","02 QUEENS","4002170031","QUEENS","1,004,186","211,559","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74733468593","-73.92805067978","(40.747334685930184, -73.9280506797836)"
"66165587","09/15/2025 08:29:18 AM","09/15/2025 10:04:27 AM","NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11101","35-10 SKILLMAN AVENUE","SKILLMAN AVENUE","35 STREET","36 STREET","35 STREET","36 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/15/2025 10:04:33 AM","02 QUEENS","4002180013","QUEENS","1,003,893","211,475","MOBILE","Unspecified","QUEENS","Car",,,,,,,"40.74710478281","-73.92910836601","(40.747104782806026, -73.92910836601426)"
"66157963","09/14/2025 07:14:03 AM","09/14/2025 12:06:44 PM","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11101","36-16 SKILLMAN AVENUE","SKILLMAN AVENUE","36 STREET","37 STREET","36 STREET","37 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/14/2025 12:06:48 PM","02 QUEENS","4002170031","QUEENS","1,004,186","211,559","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74733468593","-73.92805067978","(40.747334685930184, -73.9280506797836)"
"66137127","09/12/2025 05:37:27 PM","09/12/2025 09:17:46 PM","NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11101","35-10 SKILLMAN AVENUE","SKILLMAN AVENUE","35 STREET","36 STREET","35 STREET","36 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"This complaint does not fall under the Police Department's jurisdiction.","09/12/2025 09:17:50 PM","02 QUEENS","4002180013","QUEENS","1,003,893","211,475","MOBILE","Unspecified","QUEENS","Car",,,,,,,"40.74710478281","-73.92910836601","(40.747104782806026, -73.92910836601426)"
"66122865","09/11/2025 06:11:13 PM","09/11/2025 07:27:59 PM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","35-10 SKILLMAN AVENUE","SKILLMAN AVENUE","35 STREET","36 STREET","35 STREET","36 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/11/2025 07:28:05 PM","02 QUEENS","4002180013","QUEENS","1,003,893","211,475","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74710478281","-73.92910836601","(40.747104782806026, -73.92910836601426)"
"66125491","09/11/2025 12:01:43 PM","09/11/2025 01:07:47 PM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","09/11/2025 01:07:50 PM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66121307","09/11/2025 08:33:20 AM","09/11/2025 09:56:38 AM","NYPD","New York City Police Department","Illegal Parking","Unauthorized Bus Layover","Street/Sidewalk","11101","35-24 SKILLMAN AVENUE","SKILLMAN AVENUE","35 STREET","36 STREET","35 STREET","36 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","09/11/2025 09:56:43 AM","02 QUEENS",,"QUEENS","1,003,921","211,483","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74712667855","-73.92900729059","(40.747126678548604, -73.92900729059235)"
"66107513","09/10/2025 11:55:05 AM","10/22/2025 02:41:48 PM","DPR","Department of Parks and Recreation","Damaged Tree","Branch or Limb Has Fallen Down","Street","11101","33-02 SKILLMAN AVENUE","SKILLMAN AVENUE","33 STREET","34 STREET","33 STREET","34 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.","10/22/2025 02:41:50 PM","02 QUEENS","4002410001","QUEENS","1,003,338","211,337","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74672722298","-73.93111175317","(40.746727222981406, -73.93111175317452)"
"66058087","09/05/2025 11:12:56 PM","09/06/2025 12:26:35 AM","NYPD","New York City Police Department","Illegal Parking","Blocked Bike Lane","Street/Sidewalk","11101","SKILLMAN AVENUE","SKILLMAN AVENUE","39 STREET","SKILLMAN AVENUE","39 STREET","SKILLMAN AVENUE","INTERSECTION",,,,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","09/06/2025 12:26:38 AM","02 QUEENS",,"QUEENS","1,004,902","211,595","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74743185368","-73.92546651582","(40.747431853681626, -73.92546651582227)"
"66034431","09/03/2025 09:24:17 AM","09/03/2025 10:44:24 AM","NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11101","26-16 SKILLMAN AVENUE","SKILLMAN AVENUE","47 AVENUE","27 STREET","47 AVENUE","27 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","09/03/2025 10:44:28 AM","02 QUEENS","4000960008","QUEENS","1,000,499","210,340","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74399638068","-73.94136005821","(40.74399638068378, -73.94136005820874)"
"66044643","09/02/2025 06:59:00 AM","09/04/2025 04:13:00 AM","DSNY","Department of Sanitation","Derelict Vehicles","Derelict Vehicles","Street","11101","47-11 AUSTELL PLACE","AUSTELL PLACE","SKILLMAN AVENUE","27 STREET",,,"ADDRESS","LONG ISLAND CITY",,,"Closed",,"The Department of Sanitation (DSNY) will only remove abandoned motor vehicles (no boats) without license plates from private property.Â  If a motor vehicle is left abandoned on your property, you may ask the DSNY to remove it. Vehicles owned by the property owner are not eligible for this service. The property owner must complete a waiver and email it to customerservice@dsny.nyc.gov.Â  Access to the property is required and there will be a fee for removal.","09/04/2025 12:00:00 PM","02 QUEENS","4000970004","QUEENS","1,000,352","210,127","PHONE","Unspecified","QUEENS",,,,,,,,"40.74341201791","-73.94189106655","(40.74341201790947, -73.94189106654983)"
"66013768","09/01/2025 12:30:33 PM","09/01/2025 05:54:11 PM","DHS","Department of Homeless Services","Homeless Person Assistance","Non-Chronic","Other","11101","25-10 SKILLMAN AVENUE","SKILLMAN AVENUE","LIRR PENN CENTRAL LINE","PEARSON PLACE","LIRR PENN CENTRAL LINE","PEARSON PLACE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The person has refused services from the mobile outreach response team.","09/01/2025 05:54:02 PM","02 QUEENS",,"QUEENS","999,815","209,984","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74302048014","-73.94382932372","(40.74302048014273, -73.94382932372146)"
"66013823","09/01/2025 09:46:00 AM","09/11/2025 11:11:00 AM","DEP","Department of Environmental Protection","Sewer","RAIN GARDEN DEBRIS (GIRGD)",,"11101","37-20 SKILLMAN AVENUE","SKILLMAN AVENUE","37 ST","BEND",,,"ADDRESS","LONG ISLAND CITY",,,"Closed",,"NYC DEP investigated and determined the infrastructure required cleaning, which was completed at the time pf the inspection.","09/11/2025 11:11:00 AM","02 QUEENS","4002160024","QUEENS","1,004,454","211,628","PHONE","Unspecified","QUEENS",,,,,,,,"40.74752346527","-73.92708325696","(40.74752346527291, -73.9270832569572)"
"65912361","08/21/2025 02:51:05 PM","08/21/2025 05:55:51 PM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","27-20 SKILLMAN AVENUE","SKILLMAN AVENUE","27 STREET","28 STREET","27 STREET","28 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","08/21/2025 05:55:54 PM","02 QUEENS","4002710010","QUEENS","1,000,875","210,523","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74449797094","-73.94000268475","(40.74449797094427, -73.94000268475358)"
"65875164","08/17/2025 10:10:38 AM",,"EDC","Economic Development Corporation","Noise - Helicopter","Other","Above Address","11101","47-37 AUSTELL PLACE","AUSTELL PLACE","SKILLMAN AVENUE","27 STREET","SKILLMAN AVENUE","27 STREET","ADDRESS","LONG ISLAND CITY","AUSTELL PLACE",,"In Progress",,,,"02 QUEENS","4000970004","QUEENS","1,000,401","210,033","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74315392208","-73.94171446101","(40.74315392208425, -73.94171446100832)"
"65854008","08/14/2025 11:56:00 AM","08/20/2025 11:46:00 AM","DOT","Department of Transportation","Broken Parking Meter","Coin or Card Did Not Register","Street","11101","SKILLMAN AVENUE","SKILLMAN AVENUE","32 PLACE","33 STREET","32 PLACE","33 STREET","BLOCKFACE",,,,"Closed",,"The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.","08/20/2025 11:46:04 AM","Unspecified QUEENS",,"QUEENS","1,003,205","211,282","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74657654792","-73.93159190259","(40.74657654791664, -73.9315919025853)"
"65789292","08/07/2025 09:40:10 AM","08/07/2025 10:43:47 AM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","08/07/2025 10:43:49 AM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"65755914","08/04/2025 03:09:53 PM","08/06/2025 12:00:00 AM","DOB","Department of Buildings","General Construction/Plumbing","Fence - None/Inadequate",,"11101","32-63 SKILLMAN AVENUE","SKILLMAN AVENUE",,,,,"ADDRESS","LONG ISLAND CITY",,,"Closed",,"The Department of Buildings reviewed this complaint and referred it to the Department of Transportation for further action.","08/06/2025 12:00:00 AM","02 QUEENS",,"QUEENS","1,003,152","211,293","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.74660685359","-73.9317831472","(40.74660685359236, -73.93178314720096)"
"65759374","08/04/2025 02:05:00 PM","08/25/2025 09:35:00 AM","DEP","Department of Environmental Protection","Water System","Hydrant Defective (WC2)",,"11101","35-01 SKILLMAN AVENUE","SKILLMAN AVENUE","35 ST","36 ST",,,"ADDRESS","LONG ISLAND CITY",,,"Closed",,"The Department of Environmental Protection investigated this complaint and installed caps and chains.","08/25/2025 09:35:00 AM","02 QUEENS",,"QUEENS","1,003,871","211,474","ONLINE","Unspecified","QUEENS",,,,,,,,"40.7471020869","-73.92918776695","(40.74710208689933, -73.92918776694974)"
